pottmp,lon,lat
292.17505,-119.8581,39.24089
295.0813,-120.2885,39.4738
288.99536,-119.9218,39.5239
287.73532,-120.4549,38.57567
299.89938,-120.094,38.62627
289.94626,-120.5208,38.8577
297.82907,-120.1582,38.90858
292.11032,-119.795,38.9581
293.93063,-120.223,39.19109
292.81345,-119.8581,39.24089
296.98532,-120.2885,39.4738
288.29,-119.9218,39.5239
287.73148,-120.4549,38.57567
297.73148,-120.094,38.62627
288.46585,-120.5208,38.8577
296.47366,-120.1582,38.90858
294.1299,-119.795,38.9581
292.41116,-120.223,39.19109
294.27054,-119.8581,39.24089
295.5674,-120.2885,39.4738
289.6299,-119.9218,39.5239
287.12854,-120.4549,38.57567
296.9176,-120.094,38.62627
288.82385,-120.5208,38.8577
294.26917,-120.1582,38.90858
289.6129,-119.795,38.9581
293.12073,-120.223,39.19109
290.2223,-119.8581,39.24089
293.90198,-120.2885,39.4738
288.2379,-119.9218,39.5239
288.1219,-120.4549,38.57567
297.54376,-120.094,38.62627
290.075,-120.5208,38.8577
295.4344,-120.1582,38.90858
293.16876,-119.795,38.9581
293.3719,-120.223,39.19109
292.96564,-119.8581,39.24089
294.11407,-120.2885,39.4738
290.27814,-119.9218,39.5239
289.8123,-120.4549,38.57567
298.81232,-120.094,38.62627
292.42947,-120.5208,38.8577
296.65607,-120.1582,38.90858
290.59354,-119.795,38.9581
295.28107,-120.223,39.19109
291.17947,-119.8581,39.24089
296.19513,-120.2885,39.4738
288.16385,-119.9218,39.5239
291.72906,-120.4549,38.57567
300.46344,-120.094,38.62627
293.315,-120.5208,38.8577
299.8775,-120.1582,38.90858
296.47906,-119.795,38.9581
296.61188,-120.223,39.19109
297.04938,-119.8581,39.24089
299.33063,-120.2885,39.4738
293.29156,-119.9218,39.5239
289.58365,-120.4549,38.57567
296.52115,-120.094,38.62627
290.59927,-120.5208,38.8577
295.6149,-120.1582,38.90858
295.4352,-119.795,38.9581
293.14615,-120.223,39.19109
295.6071,-119.8581,39.24089
295.26334,-120.2885,39.4738
294.70865,-119.9218,39.5239
290.7606,-120.4549,38.57567
298.82312,-120.094,38.62627
291.74496,-120.5208,38.8577
297.82312,-120.1582,38.90858
297.6825,-119.795,38.9581
294.54187,-120.223,39.19109
298.04187,-119.8581,39.24089
297.34656,-120.2885,39.4738
295.98718,-119.9218,39.5239
287.3461,-120.4549,38.57567
294.8539,-120.094,38.62627
288.61172,-120.5208,38.8577
294.01797,-120.1582,38.90858
294.63516,-119.795,38.9581
291.87735,-120.223,39.19109
