mconv,lon,lat
-5.059013e-08,-120.4549,38.57567
-4.305901e-07,-120.094,38.62627
-3.809015e-08,-120.5208,38.8577
-2.6059007e-07,-120.1582,38.90858
-2.1934005e-07,-119.795,38.9581
-5.559008e-08,-120.223,39.19109
9.940993e-08,-119.8581,39.24089
-1.8400783e-09,-120.2885,39.4738
-2.3809014e-07,-119.9218,39.5239
9.670714e-08,-120.4549,38.57567
-2.520428e-07,-120.094,38.62627
2.2170724e-07,-120.5208,38.8577
-2.6079283e-07,-120.1582,38.90858
-4.732928e-07,-119.795,38.9581
-1.3329287e-07,-120.223,39.19109
-1.8329285e-07,-119.8581,39.24089
-8.0792915e-08,-120.2885,39.4738
-5.032927e-07,-119.9218,39.5239
1.3636566e-07,-120.4549,38.57567
-8.2384304e-08,-120.094,38.62627
-2.3842972e-09,-120.5208,38.8577
-6.488426e-08,-120.1582,38.90858
-2.473843e-07,-119.795,38.9581
-9.3634355e-08,-120.223,39.19109
-9.113424e-08,-119.8581,39.24089
-1.1342536e-09,-120.2885,39.4738
-2.311343e-07,-119.9218,39.5239
1.6417687e-07,-120.4549,38.57567
-4.3323013e-08,-120.094,38.62627
1.129269e-07,-120.5208,38.8577
-1.7332303e-07,-120.1582,38.90858
-4.8707307e-07,-119.795,38.9581
-8.3323044e-08,-120.223,39.19109
-1.8082304e-07,-119.8581,39.24089
-6.707299e-08,-120.2885,39.4738
-4.0082307e-07,-119.9218,39.5239
6.995546e-08,-120.4549,38.57567
-1.6379454e-07,-120.094,38.62627
1.9955394e-08,-120.5208,38.8577
-7.0044536e-08,-120.1582,38.90858
-5.629454e-08,-119.795,38.9581
-1.2504455e-07,-120.223,39.19109
-9.379451e-08,-119.8581,39.24089
-9.8794544e-08,-120.2885,39.4738
-1.5044577e-08,-119.9218,39.5239
6.851323e-08,-120.4549,38.57567
-2.3023682e-07,-120.094,38.62627
-2.368381e-10,-120.5208,38.8577
-2.0273677e-07,-120.1582,38.90858
-3.2398682e-07,-119.795,38.9581
-1.4273678e-07,-120.223,39.19109
-1.2648681e-07,-119.8581,39.24089
-5.8986785e-08,-120.2885,39.4738
-2.1523687e-07,-119.9218,39.5239
3.7803204e-08,-120.4549,38.57567
-7.344673e-08,-120.094,38.62627
-9.696805e-09,-120.5208,38.8577
9.0303246e-08,-120.1582,38.90858
2.1405324e-07,-119.795,38.9581
-5.8446744e-08,-120.223,39.19109
-5.7196758e-08,-119.8581,39.24089
-5.094671e-08,-120.2885,39.4738
2.3780325e-07,-119.9218,39.5239
-1.9368193e-07,-120.4549,38.57567
-6.618194e-08,-120.094,38.62627
-1.78682e-07,-120.5208,38.8577
2.881805e-08,-120.1582,38.90858
3.006798e-08,-119.795,38.9581
-1.3118202e-07,-120.223,39.19109
-6.743204e-08,-119.8581,39.24089
-4.3682036e-08,-120.2885,39.4738
2.3756803e-07,-119.9218,39.5239
