pres,lon,lat
80426.02,-119.8581,39.24089
79276.02,-120.2885,39.4738
82413.52,-119.9218,39.5239
87326.66,-120.4549,38.57567
77789.16,-120.094,38.62627
87089.16,-120.5208,38.8577
79839.16,-120.1582,38.90858
79739.16,-119.795,38.9581
80039.16,-120.223,39.19109
80164.16,-119.8581,39.24089
79026.66,-120.2885,39.4738
82151.66,-119.9218,39.5239
87130.57,-120.4549,38.57567
77680.57,-120.094,38.62627
86918.07,-120.5208,38.8577
79718.07,-120.1582,38.90858
79693.07,-119.795,38.9581
79943.07,-120.223,39.19109
80118.07,-119.8581,39.24089
78918.07,-120.2885,39.4738
82105.57,-119.9218,39.5239
87284.56,-120.4549,38.57567
77809.56,-120.094,38.62627
87047.06,-120.5208,38.8577
79834.56,-120.1582,38.90858
79759.56,-119.795,38.9581
80034.56,-120.223,39.19109
80159.56,-119.8581,39.24089
79009.56,-120.2885,39.4738
82147.06,-119.9218,39.5239
87412.52,-120.4549,38.57567
78012.52,-120.094,38.62627
87200.02,-120.5208,38.8577
80025.02,-120.1582,38.90858
79987.52,-119.795,38.9581
80225.02,-120.223,39.19109
80400.02,-119.8581,39.24089
79225.02,-120.2885,39.4738
82437.52,-119.9218,39.5239
87044.54,-120.4549,38.57567
77619.54,-120.094,38.62627
86807.04,-120.5208,38.8577
79594.54,-120.1582,38.90858
79507.04,-119.795,38.9581
79769.54,-120.223,39.19109
79907.04,-119.8581,39.24089
78707.04,-120.2885,39.4738
81844.54,-119.9218,39.5239
87049.836,-120.4549,38.57567
77487.336,-120.094,38.62627
86762.336,-120.5208,38.8577
79487.336,-120.1582,38.90858
79362.336,-119.795,38.9581
79662.336,-120.223,39.19109
79812.336,-119.8581,39.24089
78587.336,-120.2885,39.4738
81712.336,-119.9218,39.5239
86927.28,-120.4549,38.57567
77439.78,-120.094,38.62627
86664.78,-120.5208,38.8577
79414.78,-120.1582,38.90858
79289.78,-119.795,38.9581
79589.78,-120.223,39.19109
79702.28,-119.8581,39.24089
78502.28,-120.2885,39.4738
81639.78,-119.9218,39.5239
86959.66,-120.4549,38.57567
77384.66,-120.094,38.62627
86709.66,-120.5208,38.8577
79409.66,-120.1582,38.90858
79272.16,-119.795,38.9581
79572.16,-120.223,39.19109
79697.16,-119.8581,39.24089
78509.66,-120.2885,39.4738
81634.66,-119.9218,39.5239
87444.766,-120.4549,38.57567
77819.766,-120.094,38.62627
87244.766,-120.5208,38.8577
79869.766,-120.1582,38.90858
79744.766,-119.795,38.9581
80057.266,-120.223,39.19109
80119.766,-119.8581,39.24089
79019.766,-120.2885,39.4738
82144.766,-119.9218,39.5239
87596.69,-120.4549,38.57567
78121.69,-120.094,38.62627
87371.69,-120.5208,38.8577
80121.69,-120.1582,38.90858
80009.19,-119.795,38.9581
80321.69,-120.223,39.19109
80434.19,-119.8581,39.24089
79296.69,-120.2885,39.4738
82421.69,-119.9218,39.5239
87210.41,-120.4549,38.57567
77835.41,-120.094,38.62627
86985.41,-120.5208,38.8577
79797.91,-120.1582,38.90858
79710.41,-119.795,38.9581
79997.91,-120.223,39.19109
80135.41,-119.8581,39.24089
78947.91,-120.2885,39.4738
82060.41,-119.9218,39.5239
87003.66,-120.4549,38.57567
77503.66,-120.094,38.62627
86753.66,-120.5208,38.8577
79478.66,-120.1582,38.90858
79341.16,-119.795,38.9581
79653.66,-120.223,39.19109
79766.16,-119.8581,39.24089
78616.16,-120.2885,39.4738
81716.16,-119.9218,39.5239
86998.31,-120.4549,38.57567
77610.81,-120.094,38.62627
86785.81,-120.5208,38.8577
79610.81,-120.1582,38.90858
79560.81,-119.795,38.9581
79835.81,-120.223,39.19109
79948.31,-119.8581,39.24089
78860.81,-120.2885,39.4738
81973.31,-119.9218,39.5239
87245.53,-120.4549,38.57567
77770.53,-120.094,38.62627
87008.03,-120.5208,38.8577
79783.03,-120.1582,38.90858
79683.03,-119.795,38.9581
79970.53,-120.223,39.19109
80058.03,-119.8581,39.24089
78920.53,-120.2885,39.4738
82070.53,-119.9218,39.5239
87145.79,-120.4549,38.57567
77608.29,-120.094,38.62627
86920.79,-120.5208,38.8577
79595.79,-120.1582,38.90858
79483.29,-119.795,38.9581
79720.79,-120.223,39.19109
79820.79,-119.8581,39.24089
78670.79,-120.2885,39.4738
81808.29,-119.9218,39.5239
86256.55,-120.4549,38.57567
76669.05,-120.094,38.62627
86031.55,-120.5208,38.8577
78731.55,-120.1582,38.90858
78594.05,-119.795,38.9581
78931.55,-120.223,39.19109
78994.05,-119.8581,39.24089
77931.55,-120.2885,39.4738
81019.05,-119.9218,39.5239
86787.95,-120.4549,38.57567
77287.95,-120.094,38.62627
86562.95,-120.5208,38.8577
79337.95,-120.1582,38.90858
79312.95,-119.795,38.9581
79600.45,-120.223,39.19109
79712.95,-119.8581,39.24089
78600.45,-120.2885,39.4738
81737.95,-119.9218,39.5239
86880.42,-120.4549,38.57567
77292.92,-120.094,38.62627
86667.92,-120.5208,38.8577
79392.92,-120.1582,38.90858
79330.42,-119.795,38.9581
79580.42,-120.223,39.19109
79742.92,-119.8581,39.24089
78592.92,-120.2885,39.4738
81805.42,-119.9218,39.5239
87007.58,-120.4549,38.57567
77345.08,-120.094,38.62627
86820.08,-120.5208,38.8577
79532.58,-120.1582,38.90858
79545.08,-119.795,38.9581
79757.58,-120.223,39.19109
79957.58,-119.8581,39.24089
78770.08,-120.2885,39.4738
82070.08,-119.9218,39.5239
87462.39,-120.4549,38.57567
77924.89,-120.094,38.62627
87274.89,-120.5208,38.8577
80012.39,-120.1582,38.90858
80024.89,-119.795,38.9581
80262.39,-120.223,39.19109
80462.39,-119.8581,39.24089
79287.39,-120.2885,39.4738
82512.39,-119.9218,39.5239
87260.875,-120.4549,38.57567
77885.875,-120.094,38.62627
87060.875,-120.5208,38.8577
79873.375,-120.1582,38.90858
79798.375,-119.795,38.9581
80110.875,-120.223,39.19109
80173.375,-119.8581,39.24089
79073.375,-120.2885,39.4738
82185.875,-119.9218,39.5239
86540.42,-120.4549,38.57567
76977.92,-120.094,38.62627
86340.42,-120.5208,38.8577
79115.42,-120.1582,38.90858
79065.42,-119.795,38.9581
79327.92,-120.223,39.19109
79477.92,-119.8581,39.24089
78340.42,-120.2885,39.4738
81565.42,-119.9218,39.5239
86847.64,-120.4549,38.57567
77222.64,-120.094,38.62627
86697.64,-120.5208,38.8577
79422.64,-120.1582,38.90858
79472.64,-119.795,38.9581
79697.64,-120.223,39.19109
79897.64,-119.8581,39.24089
78697.64,-120.2885,39.4738
82010.14,-119.9218,39.5239
87210.09,-120.4549,38.57567
77697.59,-120.094,38.62627
86972.59,-120.5208,38.8577
79772.59,-120.1582,38.90858
79785.09,-119.795,38.9581
79972.59,-120.223,39.19109
80210.09,-119.8581,39.24089
78997.59,-120.2885,39.4738
82272.59,-119.9218,39.5239
87269.42,-120.4549,38.57567
77794.42,-120.094,38.62627
87031.92,-120.5208,38.8577
79819.42,-120.1582,38.90858
79769.42,-119.795,38.9581
80006.92,-120.223,39.19109
80156.92,-119.8581,39.24089
79019.42,-120.2885,39.4738
82169.42,-119.9218,39.5239
86791.36,-120.4549,38.57567
77378.86,-120.094,38.62627
86541.36,-120.5208,38.8577
79353.86,-120.1582,38.90858
79253.86,-119.795,38.9581
79541.36,-120.223,39.19109
79653.86,-119.8581,39.24089
78553.86,-120.2885,39.4738
81653.86,-119.9218,39.5239
86063.64,-120.4549,38.57567
76638.64,-120.094,38.62627
85826.14,-120.5208,38.8577
78613.64,-120.1582,38.90858
78488.64,-119.795,38.9581
78801.14,-120.223,39.19109
78913.64,-119.8581,39.24089
77763.64,-120.2885,39.4738
80863.64,-119.9218,39.5239
86132.17,-120.4549,38.57567
76494.67,-120.094,38.62627
85882.17,-120.5208,38.8577
78469.67,-120.1582,38.90858
78357.17,-119.795,38.9581
78619.67,-120.223,39.19109
78732.17,-119.8581,39.24089
77532.17,-120.2885,39.4738
80707.17,-119.9218,39.5239
86499.96,-120.4549,38.57567
76862.46,-120.094,38.62627
86249.96,-120.5208,38.8577
78849.96,-120.1582,38.90858
78699.96,-119.795,38.9581
78999.96,-120.223,39.19109
