web-scraper-order,web-scraper-start-url,avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
"1673820775-318","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-29","https://www.sierraavalanchecenter.org/advisory/2019/dec/29/2019-12-29-065810-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820778-319","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-30","https://www.sierraavalanchecenter.org/advisory/2019/dec/30/2019-12-30-065824-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820780-320","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-31","https://www.sierraavalanchecenter.org/advisory/2019/dec/31/2019-12-31-070031-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820783-321","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-02","https://www.sierraavalanchecenter.org/advisory/2020/jan/2/2020-01-02-065620-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820785-322","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-03","https://www.sierraavalanchecenter.org/advisory/2020/jan/3/2020-01-03-065906-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820787-323","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-04","https://www.sierraavalanchecenter.org/advisory/2020/jan/4/2020-01-04-070002-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820790-324","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-05","https://www.sierraavalanchecenter.org/advisory/2020/jan/5/2020-01-05-065726-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820793-325","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-06","https://www.sierraavalanchecenter.org/advisory/2020/jan/6/2020-01-06-065437-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820795-326","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-07","https://www.sierraavalanchecenter.org/advisory/2020/jan/7/2020-01-07-065832-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820798-327","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-08","https://www.sierraavalanchecenter.org/advisory/2020/jan/8/2020-01-08-070048-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
