avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
2020-03-23,https://www.sierraavalanchecenter.org/advisory/2020/mar/23/2020-03-23-065914-avalanche-forecast,2,2,2, Wind Slab, Deep Slab
2020-03-24,https://www.sierraavalanchecenter.org/advisory/2020/mar/24/2020-03-24-065700-avalanche-forecast,2,2,2, Wind Slab, Storm Slab
2020-03-25,https://www.sierraavalanchecenter.org/advisory/2020/mar/25/2020-03-25-065101-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2020-03-26,https://www.sierraavalanchecenter.org/advisory/2020/mar/26/2020-03-26-070036-avalanche-forecast,2,2,2, Wind Slab, Loose Dry
2020-03-27,https://www.sierraavalanchecenter.org/advisory/2020/mar/27/2020-03-27-070041-avalanche-forecast,2,2,2, Persistent Slab, Wind Slab
2020-03-28,https://www.sierraavalanchecenter.org/advisory/2020/mar/28/2020-03-28-070022-avalanche-forecast,2,2,2, Persistent Slab, Wind Slab
2020-03-29,https://www.sierraavalanchecenter.org/advisory/2020/mar/29/2020-03-29-070010-avalanche-forecast,2,2,2, Persistent Slab, Wind Slab
2020-03-30,https://www.sierraavalanchecenter.org/advisory/2020/mar/30/2020-03-30-065955-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-03-31,https://www.sierraavalanchecenter.org/advisory/2020/mar/31/2020-03-31-065807-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-01,https://www.sierraavalanchecenter.org/advisory/2020/apr/1/2020-04-01-065911-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-02,https://www.sierraavalanchecenter.org/advisory/2020/apr/2/2020-04-02-065955-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-03,https://www.sierraavalanchecenter.org/advisory/2020/apr/3/2020-04-03-070003-avalanche-forecast,1,1,1, Loose Wet,
2020-04-04,https://www.sierraavalanchecenter.org/advisory/2020/apr/4/2020-04-04-065822-avalanche-forecast,1,1,1, Normal Caution,
2020-04-05,https://www.sierraavalanchecenter.org/advisory/2020/apr/5/2020-04-05-065912-avalanche-forecast,4,4,3, Wind Slab, Storm Slab
2020-04-06,https://www.sierraavalanchecenter.org/advisory/2020/apr/6/2020-04-06-065948-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2020-04-07,https://www.sierraavalanchecenter.org/advisory/2020/apr/7/2020-04-07-065503-avalanche-forecast,2,2,2, Persistent Slab, Loose Wet
2020-04-08,https://www.sierraavalanchecenter.org/advisory/2020/apr/8/2020-04-08-065803-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-09,https://www.sierraavalanchecenter.org/advisory/2020/apr/9/2020-04-09-070052-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-10,https://www.sierraavalanchecenter.org/advisory/2020/apr/10/2020-04-10-070047-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-04-11,https://www.sierraavalanchecenter.org/advisory/2020/apr/11/2020-04-11-072704-avalanche-forecast,2,2,2, Loose Wet, Wind Slab
2020-04-12,https://www.sierraavalanchecenter.org/advisory/2020/apr/12/2020-04-12-070029-avalanche-forecast,1,2,2, Loose Wet,
2020-04-13,https://www.sierraavalanchecenter.org/advisory/2020/apr/13/2020-04-13-065848-avalanche-forecast,2,2,2, Loose Wet, Wet Slab
2020-04-14,https://www.sierraavalanchecenter.org/advisory/2020/apr/14/2020-04-14-064504-avalanche-forecast,2,2,2, Loose Wet, Wet Slab
2020-04-15,https://www.sierraavalanchecenter.org/advisory/2020/apr/15/2020-04-15-064601-avalanche-forecast,3,3,3, Loose Wet, Wet Slab
2020-04-16,https://www.sierraavalanchecenter.org/advisory/2020/apr/16/2020-04-16-065628-avalanche-forecast,2,2,2, Loose Wet, Wet Slab
2020-04-17,https://www.sierraavalanchecenter.org/advisory/2020/apr/17/2020-04-17-065927-avalanche-forecast,2,2,2, Loose Wet, Wet Slab
2020-04-18,https://www.sierraavalanchecenter.org/advisory/2020/apr/18/2020-04-18-070002-avalanche-forecast,3,3,3, Loose Wet, Wind Slab
2020-04-19,https://www.sierraavalanchecenter.org/advisory/2020/apr/19/2020-04-19-070057-avalanche-forecast,2,2,2, Loose Wet, Wet Slab
2020-04-20,https://www.sierraavalanchecenter.org/advisory/2020/apr/20/2020-04-20-065711-avalanche-forecast,1,2,2, Loose Wet, Wet Slab
2020-04-21,https://www.sierraavalanchecenter.org/advisory/2020/apr/21/2020-04-21-064903-avalanche-forecast,2,2,2, Loose Wet,
2020-04-22,https://www.sierraavalanchecenter.org/advisory/2020/apr/22/2020-04-22-064203-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-23,https://www.sierraavalanchecenter.org/advisory/2020/apr/23/2020-04-23-065528-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-24,https://www.sierraavalanchecenter.org/advisory/2020/apr/24/2020-04-24-065546-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-25,https://www.sierraavalanchecenter.org/advisory/2020/apr/25/2020-04-25-065939-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-26,https://www.sierraavalanchecenter.org/advisory/2020/apr/26/2020-04-26-065113-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-27,https://www.sierraavalanchecenter.org/advisory/2020/apr/27/2020-04-27-070011-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-28,https://www.sierraavalanchecenter.org/advisory/2020/apr/28/2020-04-28-064718-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-29,https://www.sierraavalanchecenter.org/advisory/2020/apr/29/2020-04-29-064000-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-04-30,https://www.sierraavalanchecenter.org/advisory/2020/apr/30/2020-04-30-064659-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-05-01,https://www.sierraavalanchecenter.org/advisory/2020/may/1/2020-05-01-064555-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-05-02,https://www.sierraavalanchecenter.org/advisory/2020/may/2/2020-05-02-065414-avalanche-forecast,2,2,2, Loose Wet, Cornice
2020-05-03,https://www.sierraavalanchecenter.org/advisory/2020/may/3/2020-05-03-064824-avalanche-forecast,2,2,2, Loose Wet, Cornice
